Frequency (Hz)	Level (dB)
2.691650	-61.401531
5.383301	-61.005779
8.074951	-60.172821
10.766602	-59.663467
13.458252	-58.480000
16.149902	-56.938541
18.841553	-57.676937
21.533203	-58.392044
24.224854	-57.011158
26.916504	-56.363487
29.608154	-56.598469
32.299805	-56.224525
34.991455	-53.858116
37.683105	-51.659840
40.374756	-58.355526
43.066406	-50.240047
45.758057	-45.952431
48.449707	-49.968464
51.141357	-53.008228
53.833008	-50.787128
56.524658	-51.586411
59.216309	-53.184738
61.907959	-41.919994
64.599609	-35.597366
67.291260	-40.820778
69.982910	-48.679035
72.674561	-51.501247
75.366211	-52.248447
78.057861	-51.293522
80.749512	-56.142620
83.441162	-48.044933
86.132812	-38.025551
88.824463	-40.226913
91.516113	-50.683739
94.207764	-51.902470
96.899414	-48.297897
99.591064	-46.308540
102.282715	-53.186661
104.974365	-38.950733
107.666016	-30.490435
110.357666	-33.046257
113.049316	-44.875389
115.740967	-49.192825
118.432617	-49.016018
121.124268	-53.806000
123.815918	-45.914948
126.507568	-36.512508
129.199219	-32.651127
131.890869	-38.034199
134.582520	-46.498840
137.274170	-54.128498
139.965820	-51.788391
142.657471	-50.742496
145.349121	-46.921589
148.040771	-35.370377
150.732422	-30.567556
153.424072	-36.594761
156.115723	-50.861179
158.807373	-48.948872
161.499023	-47.207737
164.190674	-46.661232
166.882324	-58.299873
169.573975	-34.537895
172.265625	-27.833666
174.957275	-32.136040
177.648926	-42.888210
180.340576	-50.452621
183.032227	-56.605331
185.723877	-59.060139
188.415527	-57.491924
191.107178	-40.440025
193.798828	-32.877010
196.490479	-34.799187
199.182129	-44.374336
201.873779	-52.930790
204.565430	-56.016304
207.257080	-53.855892
209.948730	-51.134476
212.640381	-42.112217
215.332031	-38.719872
218.023682	-44.160942
220.715332	-48.458164
223.406982	-51.463970
226.098633	-53.236698
228.790283	-55.383034
231.481934	-60.981804
234.173584	-42.771606
236.865234	-37.343407
239.556885	-40.940403
242.248535	-50.095516
244.940186	-58.657341
247.631836	-61.849514
250.323486	-57.107086
253.015137	-53.016994
255.706787	-42.823448
258.398438	-37.055977
261.090088	-39.548088
263.781738	-47.616219
266.473389	-53.199635
269.165039	-66.770943
271.856689	-57.111549
274.548340	-52.045731
277.239990	-40.299969
279.931641	-33.319267
282.623291	-36.517170
285.314941	-44.529877
288.006592	-53.138496
290.698242	-54.388523
293.389893	-61.969418
296.081543	-51.981659
298.773193	-43.985828
301.464844	-38.590714
304.156494	-41.503540
306.848145	-50.363392
309.539795	-55.871918
312.231445	-56.892071
314.923096	-59.528034
317.614746	-53.931522
320.306396	-42.988461
322.998047	-37.569359
325.689697	-41.660881
328.381348	-49.634178
331.072998	-58.530216
333.764648	-63.399300
336.456299	-68.237495
339.147949	-58.050236
341.839600	-39.957546
344.531250	-35.465816
347.222900	-41.582607
349.914551	-49.962597
352.606201	-58.246288
355.297852	-63.571934
357.989502	-57.006931
360.681152	-51.278004
363.372803	-37.628391
366.064453	-33.715820
368.756104	-41.071415
371.447754	-49.026310
374.139404	-62.977589
376.831055	-63.566628
379.522705	-53.196091
382.214355	-57.282860
384.906006	-43.019981
387.597656	-37.745899
390.289307	-43.498775
392.980957	-49.044338
395.672607	-52.770981
398.364258	-54.923077
401.055908	-56.175083
403.747559	-55.177208
406.439209	-44.483959
409.130859	-41.273266
411.822510	-47.702591
414.514160	-52.619522
417.205811	-55.857929
419.897461	-56.982361
422.589111	-59.906719
425.280762	-55.586750
427.972412	-41.289555
430.664062	-39.327023
433.355713	-50.949642
436.047363	-53.267857
438.739014	-53.417049
441.430664	-60.833752
444.122314	-63.305336
446.813965	-54.588467
449.505615	-48.064339
452.197266	-47.579071
454.888916	-51.949417
457.580566	-59.278049
460.272217	-63.872406
462.963867	-58.522705
465.655518	-60.002678
468.347168	-55.060902
471.038818	-47.002750
473.730469	-46.709805
476.422119	-50.336544
479.113770	-54.935062
481.805420	-56.120411
484.497070	-62.812622
487.188721	-60.476292
489.880371	-56.826191
492.572021	-49.597641
495.263672	-46.066853
497.955322	-51.263828
500.646973	-52.758141
503.338623	-55.403168
